hero_id,power_id
1,18
1,6
1,51
1,64
1,26
1,2
1,16
2,6
2,18
2,13
2,5
2,2
2,26
2,88
2,20
2,11
2,16
2,50
2,1
2,136
2,17
2,60
2,12
3,3
4,142
4,2
4,26
4,31
4,61
4,18
4,76
4,17
5,17
5,31
5,103
5,89
5,9
5,4
5,18
5,46
5,42
5,115
5,24
5,50
5,61
5,38
6,72
6,8
6,86
6,5
6,18
6,89
6,79
6,61
6,104
6,6
6,147
7,2
7,97
7,50
8,9
8,88
8,13
8,17
8,6
8,12
8,93
8,79
8,31
8,7
10,7
11,22
11,8
11,16
11,18
11,93
11,41
12,115
12,18
12,64
12,31
12,89
12,9
13,18
13,1
13,90
13,31
13,93
14,31
14,22
14,53
14,135
14,9
14,84
14,17
14,103
14,20
14,41
14,38
14,10
14,63
15,44
15,105
15,86
15,8
15,91
15,92
15,2
15,157
15,50
15,12
15,39
15,143
15,48
15,1
15,7
15,61
15,13
15,70
15,16
15,81
15,147
15,31
15,71
15,22
15,26
15,10
15,18
16,11
18,31
18,157
18,7
18,1
18,71
18,44
18,18
18,5
18,86
18,143
18,105
18,104
18,6
18,39
19,12
20,156
20,107
20,44
20,26
20,24
20,12
20,144
20,60
20,19
20,157
20,34
20,23
20,38
20,151
20,18
20,17
20,106
20,20
20,62
20,48
20,11
20,63
20,3
20,117
20,22
20,31
20,56
20,119
20,142
20,39
20,80
20,9
20,53
20,16
20,6
20,51
20,127
20,14
20,139
20,81
20,61
20,59
20,135
20,1
21,13
22,14
23,50
23,18
24,1
24,18
23,119
24,31
23,42
24,26
23,1
24,119
24,69
24,120
23,92
23,2
24,2
24,92
24,6
24,42
24,16
23,16
23,6
23,120
24,81
24,59
23,26
24,9
24,39
23,59
24,50
23,9
23,69
23,31
23,7
23,39
23,81
24,7
25,31
25,1
25,18
25,26
26,101
26,15
26,9
26,97
26,33
27,16
28,20
28,15
28,33
28,66
28,22
29,1
29,26
29,6
29,18
29,9
29,31
29,60
30,17
30,24
31,24
31,7
31,1
31,20
31,33
31,18
31,85
31,17
31,26
32,2
32,50
32,9
32,132
32,61
32,62
32,20
32,8
32,89
32,6
32,36
32,14
32,147
32,17
32,22
32,4
32,18
32,159
32,24
32,38
32,41
32,93
32,106
33,38
33,26
33,18
33,22
33,103
33,6
34,158
34,10
34,60
34,120
34,6
34,70
34,26
34,2
34,39
34,161
34,48
34,18
34,143
34,51
35,18
35,38
35,48
35,26
35,9
35,60
35,89
35,63
35,8
35,40
35,14
35,16
35,100
35,22
35,61
35,20
35,31
35,86
35,2
35,116
35,1
35,24
35,50
36,117
36,11
36,18
37,18
37,31
37,117
37,26
37,11
37,90
37,6
37,42
37,41
37,19
37,81
37,20
37,144
38,26
38,61
38,16
38,107
38,144
38,88
38,130
38,104
38,20
38,7
38,11
38,5
38,60
38,81
38,39
38,18
38,136
38,85
38,17
38,2
38,31
38,1
38,6
38,117
39,60
39,31
39,1
39,158
39,26
39,143
39,18
39,69
39,6
39,133
39,120
39,2
40,9
40,18
40,119
40,26
40,2
40,6
40,92
40,1
41,26
41,6
41,75
41,18
42,2
42,103
42,104
42,66
42,18
42,6
42,61
42,31
42,89
42,60
42,5
42,22
42,9
42,1
42,64
42,115
42,39
43,1
43,31
43,2
43,6
43,50
43,26
43,18
43,60
44,38
44,20
45,21
45,18
45,69
47,125
47,119
47,22
47,9
47,18
47,81
47,31
47,34
49,64
48,60
48,64
49,60
48,24
48,31
48,6
49,7
48,50
48,61
49,18
48,18
49,31
49,17
48,17
48,7
49,50
48,26
49,26
49,61
49,6
49,24
51,18
51,26
51,16
50,16
50,118
51,23
50,18
51,31
50,26
50,23
51,118
50,31
52,24
53,25
53,18
53,92
53,24
53,9
54,24
55,17
56,111
56,6
56,2
56,31
56,60
56,22
56,98
56,124
56,89
56,9
57,97
57,2
57,16
57,48
57,46
57,38
58,18
58,13
58,34
58,26
58,31
59,42
59,9
59,18
59,27
59,38
59,26
59,61
59,31
59,77
59,135
59,20
59,108
59,87
60,60
60,26
60,31
60,6
60,18
60,59
61,81
61,63
61,9
61,130
61,131
61,28
62,18
62,6
62,26
64,60
64,34
63,60
63,13
63,26
64,12
64,26
63,12
63,17
64,13
64,17
63,34
63,7
64,7
66,1
66,13
66,120
66,49
66,7
68,12
68,34
68,26
68,1
70,7
70,18
69,26
69,7
70,26
69,49
70,13
69,145
69,13
70,92
69,92
69,11
70,49
69,60
70,60
69,144
70,144
70,12
70,31
69,31
69,12
70,11
69,93
70,93
70,145
70,6
69,18
69,1
69,17
70,34
70,17
70,1
69,34
69,6
